"","sex","ethnicity","weight","height","age"
"10383","F","European",57,1.64,38
"10385","F","European",60,1.67,39
"10386","F","European",99,1.59,61
"10390","F","European",60,1.64,43
"10391","F","European",54,1.57,68
"10397","F","European",57,1.56,63
"10398","F","European",72,1.59,57
"10399","F","European",56,1.68,42
"10402","F","European",68,1.68,42
"10404","F","European",63,1.74,49
"10405","F","European",60,1.52,71
"10406","F","European",74,1.66,75
"10414","F","European",71,1.46,40
"10424","F","European",65,1.62,76
"10426","F","European",89,1.63,55
"10427","F","European",56,1.64,69
"10429","F","European",73,1.68,67
"10430","F","European",56,1.59,77
"10432","F","European",78,1.56,63
"10436","F","European",68,1.64,44
"10438","F","European",98,1.52,78
"10439","F","European",68,1.71,39
"10441","F","European",60,1.73,43
"10442","F","European",53,1.58,40
"10446","F","European",68,1.67,43
"10452","F","European",74,1.64,72
"10454","F","European",65,1.64,77
"10455","F","European",57,1.72,79
"10459","F","European",85,1.59,73
"10461","F","European",60,1.6,65
"10462","F","European",61,1.54,62
"10464","F","European",104,1.58,66
"10465","F","European",56,1.64,51
"10469","F","European",55,1.66,40
"10471","F","European",67,1.69,40
"10473","F","European",77,1.64,60
"10474","F","European",71,1.6,62
"10479","F","European",67,1.68,66
"10480","F","European",65,1.61,66
"10482","F","European",85,1.57,59
"10483","F","European",43,1.62,82
"10484","F","European",55,1.69,43
"10486","F","European",56,1.57,84
"10488","F","European",60,1.54,78
"10490","F","European",61,1.61,47
"10493","F","European",92,1.64,73
"10494","F","European",64,1.69,43
"10495","F","European",59,1.7,80
"10497","F","European",81,1.54,80
"10499","F","European",60,1.47,64
"10500","F","European",65,1.6,45
"10505","F","European",70,1.58,56
"10506","F","European",61,1.65,71
"10508","F","European",65,1.68,75
"10510","F","European",66,1.68,53
"10511","F","European",43,1.52,69
"10513","F","European",73,1.67,47
"10514","F","European",78,1.62,68
"10516","F","European",66,1.55,52
"10517","F","European",75,1.58,69
"10519","F","European",61,1.53,72
"10520","F","European",59,1.6,59
"10522","F","European",86,1.67,42
"10523","F","European",71,1.59,73
"10524","F","European",75,1.52,72
"10525","F","European",66,1.61,53
"10528","F","European",55,1.62,69
